"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","genename"
"ENSG00000117519",4483.62709360346,-2.42271925552638,0.0600010960631668,-40.3779166463199,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20195543505275,0.072416814734857,44.2156348187394,0,0,"TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31373757506788,0.0575528347565013,-40.2019741487453,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.0596313822052,0.0538443662310891,-38.2515669952484,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.88801938130618,0.0431675200590749,-43.7370360567951,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.64979201572237,0.0439349883070541,-37.5507557710556,0,0,"FLNB","2317","filamin B"
"ENSG00000164251",2348.7701339719,3.34450835184206,0.0690714213895424,48.4210152992223,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228796466493,0.0617082385837128,38.7677240441659,0,0,"SOX4","6659","SRY-box transcription factor 4"
"ENSG00000124762",28106.1191885778,1.83225777982184,0.0388960588449458,47.1065150103229,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404650365401,0.0419159197702331,-43.993941055388,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26608048724189,0.0552676926644471,41.0019014363455,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252546226989,0.0552177771630558,40.9745842464602,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19605836159351,0.0757846578410868,-42.1728942590906,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976295106564,0.054325015231934,38.283706726751,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841813000869,0.0505763729256788,-38.3265548294095,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.0373620693379,0.0462968071401162,44.0065351196222,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95054949906209,0.0435948922644458,44.7426154245339,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52372173524125,0.0653977913431063,38.5903206119098,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85825312938509,0.0865183264278404,44.5946343241281,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40668777138165,0.0581373421724988,-41.3965909249995,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418916782048,0.0696217728195546,-42.0010730752201,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234577408978,0.0404430025943478,-52.9719762792586,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53453048118251,0.0670971686681402,37.7740302831285,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.33893118349077,0.0358584298843149,-37.3393700675234,3.77205242094832e-305,2.31635452416401e-302,"ENO1","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.66815955535799,0.0447575885127055,37.2709882455898,4.84458071216949e-304,2.85597722143816e-301,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80533074373843,0.0488619849947606,36.9475522521652,7.97340907892685e-299,4.51969626943169e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763708587649,0.0550455569998004,36.8356175573596,4.97000061482436e-297,2.71288403930672e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.0634938634,2.54493705374301,0.0693611065412406,36.691125338807,1.0116779896671e-294,5.32503936132632e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.14808673373781,0.05890595633207,-36.4663756858207,3.78502189211737e-291,1.9235742291733e-288,"MGLL","11343","monoglyceride lipase"
"ENSG00000104081",804.838487338129,4.43413656596505,0.121636264555387,36.4540672321121,5.93079162264572e-291,2.91360023115175e-288,"BMF","90427","Bcl2 modifying factor"
"ENSG00000166073",2268.80918089117,-2.20667084101373,0.0608215288033763,-36.2810814596168,3.21627802593496e-288,1.52908082407192e-285,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000165434",1243.14971044106,2.5172359807096,0.0694011064224156,36.2708335712724,4.66579776777577e-288,2.14889148442123e-285,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000091527",2814.15907315816,-1.81023336615986,0.049974483486732,-36.2231530945282,2.63072927494809e-287,1.1748996380056e-284,"CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501314846984,0.0535347708029511,36.144978664281,4.4615753382701e-286,1.93396168633602e-283,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000117724",1324.17284690485,-2.82511197082347,0.0781711565952399,-36.1400815066807,5.3261724910622e-286,2.20569409025733e-283,"CENPF","1063","centromere protein F"
"ENSG00000101825",1024.97040543336,3.28766306985325,0.0909707963028072,36.1397635666491,5.38777223838131e-286,2.20569409025733e-283,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000198959",5110.85796803933,-1.74624590388829,0.0487927036900586,-35.7890785265929,1.63320086159287e-280,6.50543629679883e-278,"TGM2","7052","transglutaminase 2"
"ENSG00000164938",1395.92210584831,2.31778203820948,0.0656152631721655,35.3238244602926,2.53018976303349e-273,9.81314124410201e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021858,-2.30515287501605,0.0653955502881731,-35.249384168466,3.50629719797638e-272,1.32502072060964e-269,"FERMT2","10979","fermitin family member 2"
"ENSG00000143799",1043.84682510942,-2.61747584010377,0.0743745643882367,-35.1931585970776,2.54442669267164e-271,9.37494014914866e-269,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.83743506952057,0.0806591543275062,35.1780909826989,4.32536411648939e-271,1.55481015484928e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000110002",899.504360793506,4.43907474375568,0.126316291208632,35.14253546618,1.51144166594998e-270,5.30372077923115e-268,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01204015381387,0.0861134463682015,-34.977582257422,4.93257035978164e-268,1.69060981308051e-265,"TPX2","22974","TPX2 microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.4140185215221,0.0690677242340076,-34.9514704341957,1.22999272377078e-267,4.11991653703039e-265,"RTN3","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.35786045771804,0.0676830023780636,34.8368183277022,6.74222951071005e-266,2.20815507841877e-263,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.73283931347473,0.0497509875454521,34.8302495883448,8.47729428938902e-266,2.71605137471773e-263,"SVIL","6840","supervillin"
"ENSG00000182752",6930.41939676306,2.01487024037728,0.0588360004962105,34.245533744379,5.08288895452651e-257,1.59386420025131e-254,"PAPPA","5069","pappalysin 1"
"ENSG00000198901",744.768135087352,-3.17652098680993,0.092869994114325,-34.2039537861881,2.11186397385101e-256,6.48430234304505e-254,"PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000277443",2830.20102519863,-1.92971760125406,0.056923804013702,-33.9000113342664,6.65909922505125e-252,2.0028939669144e-249,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.3849250663,1.40989020143829,0.0418057658709277,33.7247786774489,2.50537453325193e-249,7.38484197421339e-247,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000146072",1758.22981855472,2.05910890869528,0.0611318043191061,33.6831037727398,1.0219330855524e-248,2.95318623821005e-246,"TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000145632",3262.15452178144,1.54674959587665,0.0460239498967428,33.6074934756115,1.30380286280101e-247,3.69527819076178e-245,"PLK2","10769","polo like kinase 2"
"ENSG00000140943",1848.88777327798,-1.89361782394478,0.0564680739017231,-33.5343087359493,1.52463340707593e-246,4.23963153839342e-244,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.26703399212,-1.70354660780874,0.0509596333475753,-33.4293340807522,5.13993926881034e-245,1.40282268414309e-242,"PLS3","5358","plastin 3"
"ENSG00000135046",4581.91768778281,-1.46401593518423,0.0439324144409965,-33.3242767057677,1.71857013983635e-243,4.60514304016512e-241,"ANXA1","301","annexin A1"
"ENSG00000081923",1549.06690179341,-2.5298862147578,0.0760088196653269,-33.2841139475273,6.55537122948595e-243,1.72523323536007e-240,"ATP8B1","5205","ATPase phospholipid transporting 8B1"
"ENSG00000163346",2917.79069939981,1.8105666381839,0.05470315486241,33.0980295878339,3.17232623701157e-240,8.20241124229412e-238,"PBXIP1","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.67043987816,1.72415485135815,0.0522697978209721,32.985680512167,1.3033147700146e-238,3.31176777249572e-236,"SPRY4","81848","sprouty RTK signaling antagonist 4"
"ENSG00000163017",4893.9021785664,-1.87095251202738,0.0567959453577903,-32.9416563143931,5.57026701060959e-238,1.39143381698922e-235,"ACTG2","72","actin gamma 2, smooth muscle"
